obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""866.740""","=""0.003""","=""866.7398""","=""0.0006""","=""(2200)""","=""1.3431e+04""",AAA,"=""97492.304""","=""[109029.7913]""","=""3""","=""""","=""""","=""13""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""875.286""","=""0.003""","=""875.2876""","=""0.0005""","=""2200""","=""2.0207e+04""",AAA,"=""97492.304""","=""108917.1209""","=""3""","=""""","=""""","=""12""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""886.532""","=""0.010""","=""886.5216""","=""0.0006""","=""(3600)""","=""3.1558e+04""",AAA,"=""97492.304""","=""108772.3445""","=""3""","=""""","=""""","=""11""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""901.78""","=""0.10""","=""901.7384""","=""0.0007""","=""(4800)""","=""5.1558e+04""",AAA,"=""97492.304""","=""108581.9945""","=""3""","=""""","=""""","=""10""","=""""","=""""",,"=""T8637""","=""L7389""",
"=""923.22""","=""0.10""","=""923.1546""","=""0.0007""","=""(6500)""","=""8.9050e+04""",AAA,"=""97492.304""","=""108324.7253""","=""3""","=""""","=""""","=""9""","=""""","=""""",,"=""T8637""","=""L7389""",
"=""954.88""","=""0.10""","=""954.8588""","=""0.0006""","=""(9000)""","=""1.6506e+05""",AAA,"=""97492.304""","=""107965.0568""","=""3""","=""""","=""""","=""8""","=""""","=""""",,"=""T8637""","=""L7389""",
"=""1005.26""","=""0.10""","=""1005.2123""","=""0.0007""","=""(13000)""","=""3.3585e+05""",AAA,"=""97492.304""","=""107440.4508""","=""3""","=""""","=""""","=""7""","=""""","=""""",,"=""T8637""","=""L7389""",
"=""""","=""""","=""1094.0977868""","=""0.0000008""","=""""","=""1.5649e+06""",AAA,"=""97492.211200""","=""[106632.1620536]""","=""3p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1094.0990411""","=""0.0000008""","=""""","=""9.5508e+05""",AAA,"=""97492.221701""","=""[106632.1620756]""","=""3s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1094.0992486""","=""0.0000008""","=""""","=""1.6906e+05""",AAA,"=""97492.211200""","=""106632.1498416""","=""3p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1094.1006633""","=""0.0000008""","=""""","=""9.5511e+05""",AAA,"=""97492.221701""","=""[106632.1485242]""","=""3s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1094.1102026""","=""0.0000024""","=""""","=""2.0030e+06""",AAA,"=""97492.319433""","=""(106632.16656761)""","=""3d""","=""2D""","=""3/2""","=""6f""","=""2F*""","=""5/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1094.1102236""","=""0.0000008""","=""""","=""1.8778e+06""",AAA,"=""97492.319611""","=""106632.1665697""","=""3p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1094.1107403""","=""0.0000024""","=""""","=""7.8242e+03""",AAA,"=""97492.319433""","=""[106632.1620756]""","=""3d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1094.1107643""","=""0.0000008""","=""""","=""3.1296e+05""",AAA,"=""97492.319611""","=""[106632.1620536]""","=""3p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1094.1122261""","=""0.0000008""","=""""","=""3.3815e+05""",AAA,"=""97492.319611""","=""106632.1498416""","=""3p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1094.1123625""","=""0.0000024""","=""""","=""7.8253e+04""",AAA,"=""97492.319433""","=""[106632.1485242]""","=""3d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1094.1142576""","=""0.0000008""","=""""","=""2.1460e+06""",AAA,"=""97492.355566""","=""(106632.16882614)""","=""3d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""7/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1094.1145280""","=""0.0000008""","=""""","=""1.4307e+05""",AAA,"=""97492.355566""","=""(106632.16656761)""","=""3d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""5/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1094.1150657""","=""0.0000008""","=""""","=""7.0421e+04""",AAA,"=""97492.355566""","=""[106632.1620756]""","=""3d""","=""2D""","=""5/2""","=""6p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
"=""1094.117""","=""0.013""","=""1094.1082""","=""0.0010""","=""14000""","=""7.7829e+05""",AAA,"=""97492.304""","=""106632.1681""","=""3""","=""""","=""""","=""6""","=""""","=""""",,"=""T8637""","=""L7421""",
"=""""","=""""","=""1282.143203""","=""0.000004""","=""""","=""2.8263e+06""",AAA,"=""97492.211200""","=""105291.651993""","=""3p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1282.144913""","=""0.000007""","=""""","=""1.6377e+06""",AAA,"=""97492.221701""","=""105291.65209""","=""3s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1282.146664""","=""0.000007""","=""""","=""3.0157e+05""",AAA,"=""97492.211200""","=""[105291.63094]""","=""3p""","=""2P*""","=""1/2""","=""5s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1282.148763""","=""0.000007""","=""""","=""1.6378e+06""",AAA,"=""97492.221701""","=""105291.62867""","=""3s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
"=""1282.1578""","=""0.0008""","=""1282.1576""","=""0.0010""","=""32000""","=""2.2008e+06""",AAA,"=""97492.304""","=""105291.657""","=""3""","=""""","=""""","=""5""","=""""","=""""",,"=""T8637""","=""L7421""",
"=""""","=""""","=""1282.159706""","=""0.000003""","=""""","=""4.2394e+06""",AAA,"=""97492.319433""","=""(105291.65983494)""","=""3d""","=""2D""","=""3/2""","=""5f""","=""2F*""","=""5/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1282.159742""","=""0.000004""","=""""","=""3.3915e+06""",AAA,"=""97492.319611""","=""[105291.659796]""","=""3p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1282.160980""","=""0.000007""","=""""","=""1.4954e+04""",AAA,"=""97492.319433""","=""105291.65209""","=""3d""","=""2D""","=""3/2""","=""5p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1282.161025""","=""0.000004""","=""""","=""5.6525e+05""",AAA,"=""97492.319611""","=""105291.651993""","=""3p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1282.164486""","=""0.000007""","=""""","=""6.0320e+05""",AAA,"=""97492.319611""","=""[105291.63094]""","=""3p""","=""2P*""","=""3/2""","=""5s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1282.164830""","=""0.000007""","=""""","=""1.4956e+05""",AAA,"=""97492.319433""","=""105291.62867""","=""3d""","=""2D""","=""3/2""","=""5p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1282.165011""","=""0.000008""","=""""","=""4.5421e+06""",AAA,"=""97492.355566""","=""105291.66370""","=""3d""","=""2D""","=""5/2""","=""5f""","=""2F*""","=""7/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1282.1656465""","=""0.0000012""","=""""","=""3.0281e+05""",AAA,"=""97492.355566""","=""(105291.65983494)""","=""3d""","=""2D""","=""5/2""","=""5f""","=""2F*""","=""5/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1282.166920""","=""0.000007""","=""""","=""1.3459e+05""",AAA,"=""97492.355566""","=""105291.65209""","=""3d""","=""2D""","=""5/2""","=""5p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1519.6013""","=""0.0009""","=""""","=""1.1784e+03""",AAA,"=""102823.904""","=""[109404.5776]""","=""4""","=""""","=""""","=""20""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""1526.4725""","=""0.0009""","=""""","=""1.5289e+03""",AAA,"=""102823.904""","=""[109374.9555]""","=""4""","=""""","=""""","=""19""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""1534.5999""","=""0.0009""","=""""","=""2.0128e+03""",AAA,"=""102823.904""","=""[109340.2604]""","=""4""","=""""","=""""","=""18""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""1544.3156""","=""0.0010""","=""""","=""2.6935e+03""",AAA,"=""102823.904""","=""[109299.2642]""","=""4""","=""""","=""""","=""17""","=""""","=""""",,"=""T8637""","=""""",
"=""1556.046""","=""0.006""","=""1556.0716""","=""0.0015""","=""800""","=""3.6714e+03""",AAA,"=""102823.904""","=""[109250.3433]""","=""4""","=""""","=""""","=""16""","=""""","=""""",,"=""T8637""","=""L7421c31""",
"=""""","=""""","=""1570.4969""","=""0.0015""","=""(800)""","=""5.1106e+03""",AAA,"=""102823.904""","=""[109191.3154]""","=""4""","=""""","=""""","=""15""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""1588.4898""","=""0.0013""","=""(1000)""","=""7.2879e+03""",AAA,"=""102823.904""","=""[109119.1917]""","=""4""","=""""","=""""","=""14""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""1611.3731""","=""0.0013""","=""(1200)""","=""1.0689e+04""",AAA,"=""102823.904""","=""[109029.7913]""","=""4""","=""""","=""""","=""13""","=""""","=""""",,"=""T8637""","=""""",
"=""1641.136""","=""0.013""","=""1641.1692""","=""0.0016""","=""1400""","=""1.6205e+04""",AAA,"=""102823.904""","=""108917.1209""","=""4""","=""""","=""""","=""12""","=""""","=""""",,"=""T8637""","=""L7421c31""",
"=""1681.110""","=""0.003""","=""1681.1129""","=""0.0017""","=""1600""","=""2.5565e+04""",AAA,"=""102823.904""","=""108772.3445""","=""4""","=""""","=""""","=""11""","=""""","=""""",,"=""T8637""","=""L7421""",
"=""1736.6885""","=""0.0021""","=""1736.6868""","=""0.0018""","=""3100""","=""4.2347e+04""",AAA,"=""102823.904""","=""108581.9945""","=""4""","=""""","=""""","=""10""","=""""","=""""",,"=""T8637""","=""L7421""",
"=""1817.920""","=""0.004""","=""1817.9104""","=""0.0020""","=""2800""","=""7.4593e+04""",AAA,"=""102823.904""","=""108324.7253""","=""4""","=""""","=""""","=""9""","=""""","=""""",,"=""T8637""","=""L7421c31""",
"=""""","=""""","=""1875.580357""","=""0.000004""","=""""","=""5.8647e+06""",AAA,"=""97492.211200""","=""102823.894250""","=""3p""","=""2P*""","=""1/2""","=""4d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1875.5840276""","=""0.0000025""","=""""","=""3.0650e+06""",AAA,"=""97492.221701""","=""102823.8943175""","=""3s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1875.5948609""","=""0.0000025""","=""""","=""6.1182e+05""",AAA,"=""97492.211200""","=""102823.8530211""","=""3p""","=""2P*""","=""1/2""","=""4s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1875.6001165""","=""0.0000025""","=""""","=""3.0652e+06""",AAA,"=""97492.221701""","=""102823.8485825""","=""3s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1875.613071""","=""0.000018""","=""""","=""1.2869e+07""",AAA,"=""97492.319433""","=""102823.90949""","=""3d""","=""2D""","=""3/2""","=""4f""","=""2F*""","=""5/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1875.6131346""","=""0.0000025""","=""""","=""7.0376e+06""",AAA,"=""97492.319611""","=""102823.9094871""","=""3p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1875.618409""","=""0.000007""","=""""","=""3.4754e+04""",AAA,"=""97492.319433""","=""102823.8943175""","=""3d""","=""2D""","=""3/2""","=""4p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1875.618495""","=""0.000004""","=""""","=""1.1729e+06""",AAA,"=""97492.319611""","=""102823.894250""","=""3p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1875.623108""","=""0.000005""","=""""","=""1.3788e+07""",AAA,"=""97492.355566""","=""102823.917091""","=""3d""","=""2D""","=""5/2""","=""4f""","=""2F*""","=""7/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1875.625782""","=""0.000018""","=""""","=""9.1919e+05""",AAA,"=""97492.355566""","=""102823.90949""","=""3d""","=""2D""","=""5/2""","=""4f""","=""2F*""","=""5/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1875.6311200""","=""0.0000025""","=""""","=""3.1280e+05""",AAA,"=""97492.355566""","=""102823.8943175""","=""3d""","=""2D""","=""5/2""","=""4p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1875.6329991""","=""0.0000025""","=""""","=""1.2238e+06""",AAA,"=""97492.319611""","=""102823.8530211""","=""3p""","=""2P*""","=""3/2""","=""4s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""1875.634498""","=""0.000007""","=""""","=""3.4759e+05""",AAA,"=""97492.319433""","=""102823.8485825""","=""3d""","=""2D""","=""3/2""","=""4p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
"=""1875.64""","=""0.10""","=""1875.6096""","=""0.0025""","=""(51000)""","=""8.9860e+06""",AAA,"=""97492.304""","=""102823.904""","=""3""","=""""","=""""","=""4""","=""""","=""""",,"=""T8637""","=""L4812""",
"=""""","=""""","=""1945.0890""","=""0.0023""","=""(4500)""","=""1.4242e+05""",AAA,"=""102823.904""","=""107965.0568""","=""4""","=""""","=""""","=""8""","=""""","=""""",,"=""T8637""","=""""",
"=""2166.1178""","=""0.0023""","=""2166.121""","=""0.003""","=""8000""","=""3.0415e+05""",AAA,"=""102823.904""","=""107440.4508""","=""4""","=""""","=""""","=""7""","=""""","=""""",,"=""T8637""","=""L7421""",
"=""""","=""""","=""2431.362""","=""0.003""","=""""","=""9.7511e+02""",AAA,"=""105291.657""","=""[109404.5776]""","=""5""","=""""","=""""","=""20""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""2449.000""","=""0.003""","=""""","=""1.2683e+03""",AAA,"=""105291.657""","=""[109374.9555]""","=""5""","=""""","=""""","=""19""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""2469.988""","=""0.003""","=""""","=""1.6747e+03""",AAA,"=""105291.657""","=""[109340.2604]""","=""5""","=""""","=""""","=""18""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""2495.2545""","=""0.0025""","=""""","=""2.2490e+03""",AAA,"=""105291.657""","=""[109299.2642]""","=""5""","=""""","=""""","=""17""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""2526.091""","=""0.004""","=""(400)""","=""3.0788e+03""",AAA,"=""105291.657""","=""[109250.3433]""","=""5""","=""""","=""""","=""16""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""2564.327""","=""0.005""","=""(480)""","=""4.3084e+03""",AAA,"=""105291.657""","=""[109191.3154]""","=""5""","=""""","=""""","=""15""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""2612.648""","=""0.004""","=""(580)""","=""6.1848e+03""",AAA,"=""105291.657""","=""[109119.1917]""","=""5""","=""""","=""""","=""14""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""2625.8342639""","=""0.0000010""","=""""","=""7.1849e+05""",AAA,"=""102823.8485825""","=""[106632.1620536]""","=""4p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""2625.8373091""","=""0.0000007""","=""""","=""4.4561e+05""",AAA,"=""102823.8530211""","=""[106632.1620756]""","=""4s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""2625.8426841""","=""0.0000006""","=""""","=""1.1942e+05""",AAA,"=""102823.8485825""","=""106632.1498416""","=""4p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""2625.8466529""","=""0.0000007""","=""""","=""4.4563e+05""",AAA,"=""102823.8530211""","=""[106632.1485242]""","=""4s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""2625.862640""","=""0.000006""","=""""","=""1.2012e+06""",AAA,"=""102823.894250""","=""(106632.16656761)""","=""4d""","=""2D""","=""3/2""","=""6f""","=""2F*""","=""5/2""",,"=""T7771""","=""""",
"=""""","=""""","=""2625.8626846""","=""0.0000007""","=""""","=""8.6219e+05""",AAA,"=""102823.8943175""","=""106632.1665697""","=""4p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
"=""""","=""""","=""2625.865737""","=""0.000006""","=""""","=""9.4169e+03""",AAA,"=""102823.894250""","=""[106632.1620756]""","=""4d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""2625.8657986""","=""0.0000007""","=""""","=""1.4370e+05""",AAA,"=""102823.8943175""","=""[106632.1620536]""","=""4p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
"=""2625.871""","=""0.021""","=""2625.868""","=""0.004""","=""(9000)""","=""7.7110e+05""",AAA,"=""102823.904""","=""106632.1681""","=""4""","=""""","=""""","=""6""","=""""","=""""",,"=""T8637""","=""L7452""",
"=""""","=""""","=""2625.8715885""","=""0.0000007""","=""""","=""1.2870e+06""",AAA,"=""102823.9094871""","=""(106632.16882614)""","=""4d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""7/2""",,"=""T7771""","=""""",
"=""""","=""""","=""2625.87159""","=""0.00003""","=""""","=""1.3238e+06""",AAA,"=""102823.90949""","=""(106632.16882188)""","=""4f""","=""2F*""","=""5/2""","=""6g""","=""2G""","=""7/2""",,"=""T7771""","=""""",
"=""""","=""""","=""2625.8731458""","=""0.0000007""","=""""","=""8.5799e+04""",AAA,"=""102823.9094871""","=""(106632.16656761)""","=""4d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""5/2""",,"=""T7771""","=""""",
"=""""","=""""","=""2625.87315""","=""0.00003""","=""""","=""1.0214e+03""",AAA,"=""102823.90949""","=""106632.1665697""","=""4f""","=""2F*""","=""5/2""","=""6d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
"=""""","=""""","=""2625.8742190""","=""0.0000007""","=""""","=""2.3885e+05""",AAA,"=""102823.8943175""","=""106632.1498416""","=""4p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""2625.875081""","=""0.000006""","=""""","=""9.4181e+04""",AAA,"=""102823.894250""","=""[106632.1485242]""","=""4d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""2625.875900""","=""0.000009""","=""""","=""1.3728e+06""",AAA,"=""102823.917091""","=""(106632.17017701)""","=""4f""","=""2F*""","=""7/2""","=""6g""","=""2G""","=""9/2""",,"=""T7771""","=""""",
"=""""","=""""","=""2625.8762431""","=""0.0000007""","=""""","=""8.4755e+04""",AAA,"=""102823.9094871""","=""[106632.1620756]""","=""4d""","=""2D""","=""5/2""","=""6p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""2625.87626""","=""0.00003""","=""""","=""2.1451e+04""",AAA,"=""102823.90949""","=""[106632.1620536]""","=""4f""","=""2F*""","=""5/2""","=""6d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""2625.876834""","=""0.000009""","=""""","=""4.9028e+04""",AAA,"=""102823.917091""","=""(106632.16882188)""","=""4f""","=""2F*""","=""7/2""","=""6g""","=""2G""","=""7/2""",,"=""T7771""","=""""",
"=""""","=""""","=""2625.878387""","=""0.000009""","=""""","=""2.0429e+04""",AAA,"=""102823.917091""","=""106632.1665697""","=""4f""","=""2F*""","=""7/2""","=""6d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
"=""""","=""""","=""2675.131""","=""0.004""","=""(700)""","=""9.1481e+03""",AAA,"=""105291.657""","=""[109029.7913]""","=""5""","=""""","=""""","=""13""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""2758.268""","=""0.005""","=""(900)""","=""1.4024e+04""",AAA,"=""105291.657""","=""108917.1209""","=""5""","=""""","=""""","=""12""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""2872.996""","=""0.006""","=""(1100)""","=""2.2460e+04""",AAA,"=""105291.657""","=""108772.3445""","=""5""","=""""","=""""","=""11""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""3039.202""","=""0.006""","=""(1400)""","=""3.7999e+04""",AAA,"=""105291.657""","=""108581.9945""","=""5""","=""""","=""""","=""10""","=""""","=""""",,"=""T8637""","=""""",
"=""3296.98""","=""0.22""","=""3296.991""","=""0.007""","=""(1800)""","=""6.9078e+04""",AAA,"=""105291.657""","=""108324.7253""","=""5""","=""""","=""""","=""9""","=""""","=""""",,"=""T8637""","=""L7452""",
"=""""","=""""","=""3606.9708""","=""0.0025""","=""""","=""8.4239e+02""",AAA,"=""106632.1681""","=""[109404.5776]""","=""6""","=""""","=""""","=""20""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""3645.926""","=""0.003""","=""""","=""1.0993e+03""",AAA,"=""106632.1681""","=""[109374.9555]""","=""6""","=""""","=""""","=""19""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""3692.636""","=""0.003""","=""""","=""1.4571e+03""",AAA,"=""106632.1681""","=""[109340.2604]""","=""6""","=""""","=""""","=""18""","=""""","=""""",,"=""T8637""","=""""",
"=""3740.576""","=""0.017""","=""3740.555""","=""0.008""","=""2500""","=""1.3877e+05""",AAA,"=""105291.657""","=""107965.0568""","=""5""","=""""","=""""","=""8""","=""""","=""""",,"=""T8637""","=""L7421""",
"=""""","=""""","=""3749.396""","=""0.003""","=""""","=""1.9660e+03""",AAA,"=""106632.1681""","=""[109299.2642]""","=""6""","=""""","=""""","=""17""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""3819.454""","=""0.004""","=""(140)""","=""2.7068e+03""",AAA,"=""106632.1681""","=""[109250.3433]""","=""6""","=""""","=""""","=""16""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""3907.552""","=""0.005""","=""(170)""","=""3.8151e+03""",AAA,"=""106632.1681""","=""[109191.3154]""","=""6""","=""""","=""""","=""15""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""4020.871""","=""0.004""","=""(200)""","=""5.5265e+03""",AAA,"=""106632.1681""","=""[109119.1917]""","=""6""","=""""","=""""","=""14""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""4052.18664""","=""0.00004""","=""""","=""1.2381e+06""",AAA,"=""102823.8485825""","=""105291.651993""","=""4p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""4052.19376""","=""0.00007""","=""""","=""7.3716e+05""",AAA,"=""102823.8530211""","=""105291.65209""","=""4s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""4052.22121""","=""0.00007""","=""""","=""2.1503e+05""",AAA,"=""102823.8485825""","=""[105291.63094]""","=""4p""","=""2P*""","=""1/2""","=""5s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""4052.23222""","=""0.00007""","=""""","=""7.3721e+05""",AAA,"=""102823.8530211""","=""105291.62867""","=""4s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""4052.248747""","=""0.000013""","=""""","=""2.4121e+06""",AAA,"=""102823.894250""","=""(105291.65983494)""","=""4d""","=""2D""","=""3/2""","=""5f""","=""2F*""","=""5/2""",,"=""T7771""","=""""",
"=""""","=""""","=""4052.24892""","=""0.00004""","=""""","=""1.4858e+06""",AAA,"=""102823.8943175""","=""[105291.659796]""","=""4p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
"=""""","=""""","=""4052.26147""","=""0.00007""","=""""","=""1.8846e+04""",AAA,"=""102823.894250""","=""105291.65209""","=""4d""","=""2D""","=""3/2""","=""5p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""4052.26174""","=""0.00004""","=""""","=""2.4763e+05""",AAA,"=""102823.8943175""","=""105291.651993""","=""4p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""4052.26738""","=""0.00008""","=""""","=""4.1023e+06""",AAA,"=""102823.90949""","=""(105291.66373033)""","=""4f""","=""2F*""","=""5/2""","=""5g""","=""2G""","=""7/2""",,"=""T7771""","=""""",
"=""""","=""""","=""4052.26742""","=""0.00008""","=""""","=""2.5844e+06""",AAA,"=""102823.9094871""","=""105291.66370""","=""4d""","=""2D""","=""5/2""","=""5f""","=""2F*""","=""7/2""",,"=""T7771""","=""""",
"=""""","=""""","=""4052.2737678""","=""0.0000016""","=""""","=""1.7229e+05""",AAA,"=""102823.9094871""","=""(105291.65983494)""","=""4d""","=""2D""","=""5/2""","=""5f""","=""2F*""","=""5/2""",,"=""T7771""","=""""",
"=""""","=""""","=""4052.27384""","=""0.00010""","=""""","=""2.4037e+03""",AAA,"=""102823.90949""","=""[105291.659796]""","=""4f""","=""2F*""","=""5/2""","=""5d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
"=""""","=""""","=""4052.276012""","=""0.000021""","=""""","=""4.2542e+06""",AAA,"=""102823.917091""","=""(105291.66607200)""","=""4f""","=""2F*""","=""7/2""","=""5g""","=""2G""","=""9/2""",,"=""T7771""","=""""",
"=""4052.279""","=""0.008""","=""4052.269""","=""0.010""","=""11000""","=""2.6993e+06""",AAA,"=""102823.904""","=""105291.657""","=""4""","=""""","=""""","=""5""","=""""","=""""",,"=""T8637""","=""L7421""",
"=""""","=""""","=""4052.279858""","=""0.000021""","=""""","=""1.5193e+05""",AAA,"=""102823.917091""","=""(105291.66373033)""","=""4f""","=""2F*""","=""7/2""","=""5g""","=""2G""","=""7/2""",,"=""T7771""","=""""",
"=""""","=""""","=""4052.28632""","=""0.00005""","=""""","=""4.8075e+04""",AAA,"=""102823.917091""","=""[105291.659796]""","=""4f""","=""2F*""","=""7/2""","=""5d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
