obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""""","=""389.017691799""","=""0.000000008""","=""""","=""2.0523e+06""",AAA,"=""82259.2850014""","=""107965.05677174""","=""2p""","=""2P*""","=""3/2""","=""8d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
"=""""","=""""","=""389.01769""","=""0.00003""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c53""",
"=""""","=""""","=""389.017720639""","=""0.000000008""","=""""","=""3.4205e+05""",AAA,"=""82259.2850014""","=""107965.0548660""","=""2p""","=""2P*""","=""3/2""","=""8d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""389.017798599""","=""0.000000008""","=""""","=""2.0363e+05""",AAA,"=""82259.2850014""","=""107965.0497145""","=""2p""","=""2P*""","=""3/2""","=""8s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""397.1164910""","=""0.0000004""","=""""","=""2.6093e+06""",AAA,"=""82258.9191133""","=""[107440.447022]""","=""2p""","=""2P*""","=""1/2""","=""7d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""397.1166123""","=""0.0000006""","=""""","=""1.5289e+05""",AAA,"=""82258.9191133""","=""[107440.43933]""","=""2p""","=""2P*""","=""1/2""","=""7s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""397.11679""","=""0.00009""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c54""",
"=""""","=""""","=""397.1170473""","=""0.0000006""","=""""","=""1.7972e+06""",AAA,"=""82258.9543992821""","=""[107440.44703]""","=""2s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""397.1171687""","=""0.0000006""","=""""","=""""",,"=""82258.9543992821""","=""[107440.43933]""","=""2s""","=""2S""","=""1/2""","=""7s""","=""2S""","=""1/2""",M1,"=""""","=""""",
"=""""","=""""","=""397.1171818""","=""0.0000006""","=""""","=""1.7972e+06""",AAA,"=""82258.9543992821""","=""[107440.43850]""","=""2s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""397.11951""","=""0.00009""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c55""",
"=""397.1198""","=""0.0006""","=""397.12020""","=""0.00022""","=""30000""","=""4.3889e+05""",AAA,"=""82259.158""","=""107440.4508""","=""2""","=""""","=""""","=""7""","=""""","=""""",,"=""T8637""","=""L7436c29""",
"=""""","=""""","=""397.1222163""","=""0.0000004""","=""""","=""3.1311e+06""",AAA,"=""82259.2850014""","=""[107440.449866]""","=""2p""","=""2P*""","=""3/2""","=""7d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
"=""""","=""""","=""397.12223""","=""0.00003""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c56""",
"=""""","=""""","=""397.1222611""","=""0.0000004""","=""""","=""5.2183e+05""",AAA,"=""82259.2850014""","=""[107440.447022]""","=""2p""","=""2P*""","=""3/2""","=""7d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""397.1223825""","=""0.0000006""","=""""","=""3.0581e+05""",AAA,"=""82259.2850014""","=""[107440.43933]""","=""2p""","=""2P*""","=""3/2""","=""7s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""410.285985517""","=""0.000000022""","=""""","=""4.2877e+06""",AAA,"=""82258.9191133""","=""[106632.1620536]""","=""2p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""410.286191087""","=""0.000000013""","=""""","=""2.4501e+05""",AAA,"=""82258.9191133""","=""106632.1498416""","=""2p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""410.28632""","=""0.00010""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c57""",
"=""410.286503488""","=""0.000000006""","=""410.286503481""","=""0.000000007""","=""""","=""""",,"=""82258.9543992821""","=""106632.1665697""","=""2s""","=""2S""","=""1/2""","=""6d""","=""2D""","=""5/2""",E2,"=""""","=""L11759""",
"=""""","=""""","=""410.286579132""","=""0.000000022""","=""""","=""2.8583e+06""",AAA,"=""82258.9543992821""","=""[106632.1620756]""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
"=""410.286785081""","=""0.000000012""","=""410.286785074""","=""0.000000012""","=""""","=""""",,"=""82258.9543992821""","=""106632.1498416""","=""2s""","=""2S""","=""1/2""","=""6s""","=""2S""","=""1/2""",M1,"=""""","=""L11759""",
"=""""","=""""","=""410.286807250""","=""0.000000017""","=""""","=""2.8584e+06""",AAA,"=""82258.9543992821""","=""[106632.1485242]""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
