p_name,h_name,default_flag,num_s,num_p,disc_method,disc_year,disc_facility,controversial_flag,p_mass,orbital_period,eccentricity,p_eqt,s_efft,s_radius,s_mass,s_sgravity,ra,dec,h_dist,h_vmag,p_pubdate
11 Com b,11 Com,1,2,1,Radial Velocity,2007,Xinglong Station,0,4914.898486,323.21,0.238,,4874,13.76,2.09,2.45,185.1787793,17.7932516,93.1846,4.72307,2023-08
11 Com b,11 Com,0,2,1,Radial Velocity,2007,Xinglong Station,0,6165.6,326.03,0.231,,4742,19,2.7,2.31,185.1787793,17.7932516,93.1846,4.72307,2008-01
11 Com b,11 Com,0,2,1,Radial Velocity,2007,Xinglong Station,0,5434.7,,,,,,2.6,,185.1787793,17.7932516,93.1846,4.72307,2011-08
11 UMi b,11 UMi,0,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,3337.07,516.22,0.08,,4340,24.08,1.8,1.6,229.2745954,71.8239428,125.321,5.013,2009-10
11 UMi b,11 UMi,1,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,4684.8142,516.21997,0.08,,4213,29.79,2.78,1.93,229.2745954,71.8239428,125.321,5.013,2017-03
11 UMi b,11 UMi,0,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,3432.4,,,,,,1.7,,229.2745954,71.8239428,125.321,5.013,2011-08
14 And b,14 And,0,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,1017,,,,,,1.2,,352.82415,39.2358367,75.4392,5.23133,2011-08
14 And b,14 And,1,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,1131.151301,186.76,0,,4888,11.55,1.78,2.55,352.82415,39.2358367,75.4392,5.23133,2023-08
14 And b,14 And,0,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,1525.5,185.84,0,,4813,11,2.2,2.63,352.82415,39.2358367,75.4392,5.23133,2008-12
14 Her b,14 Her,1,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,2559.472162,1765.0389,0.373,,,,0.91,,242.6021014,43.8163621,17.9323,6.61935,2022-09
14 Her b,14 Her,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1440.663,,0.357,,,,0.9,,242.6021014,43.8163621,17.9323,6.61935,2006-07
14 Her b,14 Her,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1554.12,1724,0.37,,,,1,,242.6021014,43.8163621,17.9323,6.61935,2003-01
14 Her b,14 Her,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1506.45,1796.4,0.338,,5255,,0.9,4.4,242.6021014,43.8163621,17.9323,6.61935,2004-01
14 Her b,14 Her,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1581.138,1766,0.359,,5280,1.00235,0.91,4.39507,242.6021014,43.8163621,17.9323,6.61935,2008-04
14 Her b,14 Her,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1481.0878,1773.40002,0.37,,5338,0.93,0.9,4.45,242.6021014,43.8163621,17.9323,6.61935,2017-03
14 Her b,14 Her,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1474.67,1773.4,0.369,,,,,,242.6021014,43.8163621,17.9323,6.61935,2007-01
14 Her b,14 Her,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1541.467774,1766.41,0.3674,,5314.94,0.995819,0.969205,4.426953,242.6021014,43.8163621,17.9323,6.61935,2021-07
16 Cyg B b,16 Cyg B,1,3,1,Radial Velocity,1996,Multiple Observatories,0,565.7374,798.5,0.68,,5750,1.13,1.08,4.36,295.4656422,50.5168243,21.1397,6.215,2017-03
16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,Multiple Observatories,0,533.9544,798.5,0.681,,5674,,0.99,4.355,295.4656422,50.5168243,21.1397,6.215,2006-07
16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,Multiple Observatories,0,533.93,799.5,0.689,,5747,1.12827,1.03,4.34608,295.4656422,50.5168243,21.1397,6.215,2007-09
16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,Multiple Observatories,0,476.7,800.8,0.634,,5760,,1,4.35,295.4656422,50.5168243,21.1397,6.215,1997-07
16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,Multiple Observatories,0,556.8353691,799.45,0.6832,,5711.97,1.159464,0.982996,4.300386,295.4656422,50.5168243,21.1397,6.215,2021-07
16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,Multiple Observatories,0,533.93,799.5,0.689,,,,,,295.4656422,50.5168243,21.1397,6.215,2007-01
17 Sco b,17 Sco,1,1,1,Radial Velocity,2020,Lick Observatory,0,1373.018718,578.38,0.06,,4157,25.92,1.22,1.7,243.4620874,-11.8377905,124.953,5.22606,2020-12
18 Del b,18 Del,0,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,3127.3,,,,,,2.1,,314.6078375,10.8391378,76.222,5.51048,2011-08
18 Del b,18 Del,1,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,2926.246143,982.85,0.024,,4980,8.8,2.1,2.87,314.6078375,10.8391378,76.222,5.51048,2023-08
18 Del b,18 Del,0,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,3273.5,993.3,0.08,,4979,8.5,2.3,2.818,314.6078375,10.8391378,76.222,5.51048,2008-06
1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,1,1,Imaging,2008,Gemini Observatory,0,3000,,,1800,3993,1.31316,0.623,3.99592,242.3762343,-21.0831403,139.135,12.618,2010-08
1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,1,1,Imaging,2008,Gemini Observatory,0,4000,,,1700,4060,,0.85,,242.3762343,-21.0831403,139.135,12.618,2015-03
1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,1,1,Imaging,2008,Gemini Observatory,0,2543,,,1800,4060,1.352,0.85,,242.3762343,-21.0831403,139.135,12.618,2008-12
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1,Imaging,2008,Gemini Observatory,0,3000,,,1700,4060,,0.85,,242.3762343,-21.0831403,139.135,12.618,2015-03
24 Boo b,24 Boo,0,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,0,289.2253,30.3506,0.042,,4893,10.64,0.99,2.42,217.1555242,49.8446488,95.9863,5.59,2018-08
24 Boo b,24 Boo,1,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,0,280.6424834,30.33,0.032,,4816,12.19,1.05,2.28,217.1555242,49.8446488,95.9863,5.59,2023-08
24 Sex b,24 Sex,1,1,2,Radial Velocity,2010,Lick Observatory,0,632.46,452.8,0.09,,5098,4.9,1.54,3.5,155.8684866,-0.9023998,72.0691,6.4535,2011-01
24 Sex c,24 Sex,1,1,2,Radial Velocity,2010,Lick Observatory,0,273.32,883,0.29,,5098,4.9,1.54,3.5,155.8684866,-0.9023998,72.0691,6.4535,2011-01
2M0437 b,2MASS J04372171+2651014,1,1,1,Imaging,2021,Subaru Telescope,0,1271.313628,,,1450,3100,0.84,0.17,4.5,69.3405531,26.8502997,128.484,16.186,2021-10
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,2,1,Imaging,2013,Paranal Observatory,0,4131.79,,,,,,0.19,,15.8992489,-55.2658291,,15.788,2013-05
2MASS J01225093-2439505 b,2MASS J01225093-2439505,0,1,1,Imaging,2013,W. M. Keck Observatory,0,,,,1600,3309,0.36645,0.353185,4.85804,20.7128012,-24.6646128,33.8281,14.244,2015-05
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,1,Imaging,2013,W. M. Keck Observatory,0,7786.5,,,,3530,,0.4,,20.7128012,-24.6646128,33.8281,14.244,2013-09
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,0,4417.837,,,,3064,0.281,0.108,4.59,34.8427046,-39.4230767,,,2015-06
2MASS J0249-0557 c,2MASS J0249-0557 A,1,2,1,Imaging,2018,Mauna Kea Observatory,0,3686.809521,,,,,,0.046,,42.4851627,-5.9599921,66.0613,18.3,2018-08
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,0,5720.911326,,,2369,,,,,59.7911026,20.1599759,117.435,,2024-01
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,1,Imaging,2010,Hubble Space Telescope,0,2383.6,,,,,,0.019,,70.4371079,23.0308544,,,2010-05
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,0,8899.195396,,,2677,,,,,165.3295388,-77.5440912,,,2024-01
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,0,6356.56814,,,2506,,,,,178.7691634,-79.3197558,100.862,16.957,2024-01
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,1,Imaging,2004,Paranal Observatory,0,1589.15,,,1250,,,0.024,,181.8890906,-39.5484399,64.308,,2004-10
2MASS J12073346-3932539 b,2MASS J12073346-3932539,0,1,1,Imaging,2004,Paranal Observatory,0,1271,,,1150,2825,0.21887,0.188001,5.03186,181.8890906,-39.5484399,64.308,,2008-01
2MASS J19383260+4603591 b,2MASS J19383260+4603591,0,2,3,Eclipse Timing Variations,2015,Kepler,0,603.877,416,,,,,0.48,,294.6359173,46.0664076,396.332,12.651,2015-05
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2015,Kepler,0,591.160837,406,0.33,,29564,0.203,0.48,5.508,294.6359173,46.0664076,396.332,12.651,2022-04
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,0,3813.940884,,,1616,,,,,321.3662989,-81.6414894,34.1154,11.804,2024-01
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,1,Imaging,2016,W. M. Keck Observatory,0,3972.875,,,,4045,,0.6,,339.1025931,47.861683,69.5737,12.368,2017-01
2MASS J22501512+2325342 b,2MASS J22501512+2325342,1,1,1,Imaging,2018,The 2 (Two) Micron All Sky Survey (2MASS),0,9534.85221,,,1600,,,,,342.5634097,23.4259058,57.2309,14.784,2018-01
4 UMa b,4 UMa,1,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,0,2511.480072,270.27,0.453,,4415,18.11,1.234,1.8,130.0528099,64.3280504,73.4603,4.5801,2023-08
4 UMa b,4 UMa,0,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,0,2256.5,269.3,0.432,,4415,18.11,1.234,1.8,130.0528099,64.3280504,73.4603,4.5801,2007-09
47 UMa b,47 UMa,0,1,3,Radial Velocity,1996,Lick Observatory,0,778.6835,1076.6,0.012,,5882,,1.063,,164.8647611,40.4304931,13.7967,5.03352,2009-05
47 UMa b,47 UMa,0,1,3,Radial Velocity,1996,Lick Observatory,0,792,1076.06,0.03,,5880,,,,164.8647611,40.4304931,13.7967,5.03352,2025-12
47 UMa b,47 UMa,0,1,3,Radial Velocity,1996,Lick Observatory,0,877.17,1100.8,0.097,,,,,,164.8647611,40.4304931,13.7967,5.03352,2004-01
47 UMa b,47 UMa,1,1,3,Radial Velocity,1996,Lick Observatory,0,804.08,1078,0.032,,5872,1.21334,1.06,4.29541,164.8647611,40.4304931,13.7967,5.03352,2010-04
47 UMa b,47 UMa,0,1,3,Radial Velocity,1996,Lick Observatory,0,774.8656563,1076.6,0.016,,5829.16,1.136537,1.005192,4.327759,164.8647611,40.4304931,13.7967,5.03352,2021-07
47 UMa b,47 UMa,0,1,3,Radial Velocity,1996,Lick Observatory,0,826.32,1083.2,0.049,,,,,,164.8647611,40.4304931,13.7967,5.03352,2007-01
47 UMa c,47 UMa,1,1,3,Radial Velocity,2001,Lick Observatory,0,171.621,2391,0.098,,5872,1.21334,1.06,4.29541,164.8647611,40.4304931,13.7967,5.03352,2010-04
47 UMa c,47 UMa,0,1,3,Radial Velocity,2001,Lick Observatory,0,425.87,7586,0.005,,,,,,164.8647611,40.4304931,13.7967,5.03352,2007-01
47 UMa c,47 UMa,0,1,3,Radial Velocity,2001,Lick Observatory,0,164,2265,0.247,,5880,,,,164.8647611,40.4304931,13.7967,5.03352,2025-12
47 UMa c,47 UMa,0,1,3,Radial Velocity,2001,Lick Observatory,0,157.9607183,2287,0.179,,5829.16,1.136537,1.005192,4.327759,164.8647611,40.4304931,13.7967,5.03352,2021-07
47 UMa d,47 UMa,1,1,3,Radial Velocity,2009,Lick Observatory,0,521.22,14002.00000000000,0.16,,5872,1.21334,1.06,4.29541,164.8647611,40.4304931,13.7967,5.03352,2010-04
47 UMa d,47 UMa,0,1,3,Radial Velocity,2009,Lick Observatory,0,479.9208946,19000.00000000000,0.38,,5829.16,1.136537,1.005192,4.327759,164.8647611,40.4304931,13.7967,5.03352,2021-07
51 Eri b,51 Eri,0,3,1,Imaging,2015,Gemini Observatory,0,,11688.00000000000,0.45,,7295,1.48726,1.65,4.31078,69.4007424,-2.4738245,29.7575,5.21149,2019-04
51 Eri b,51 Eri,1,3,1,Imaging,2015,Gemini Observatory,0,3464.329636,9100,0.57,,,,1.75,,69.4007424,-2.4738245,29.7575,5.21149,2022-01
51 Eri b,51 Eri,0,3,1,Imaging,2015,Gemini Observatory,0,635.66,,,700,,,1.75,,69.4007424,-2.4738245,29.7575,5.21149,2015-00
51 Eri b,51 Eri,0,3,1,Imaging,2015,Gemini Observatory,0,,14965.00000000000,0.21,,7295,1.48726,1.65,4.31078,69.4007424,-2.4738245,29.7575,5.21149,2015-11
51 Peg b,51 Peg,0,1,1,Radial Velocity,1995,Haute-Provence Observatory,0,147.4723809,4.2307969,0.0042,,5760.76,1.186744,1.069296,4.317353,344.3675399,20.7690958,15.4614,5.45309,2021-07
51 Peg b,51 Peg,0,1,1,Radial Velocity,1995,Haute-Provence Observatory,0,148.738,4.23077,0,,,,,,344.3675399,20.7690958,15.4614,5.45309,2004-01
51 Peg b,51 Peg,0,1,1,Radial Velocity,1995,Haute-Provence Observatory,0,149.3801,4.2293,0,,5773,1.29,,4.32,344.3675399,20.7690958,15.4614,5.45309,1995-11
51 Peg b,51 Peg,1,1,1,Radial Velocity,1995,Haute-Provence Observatory,0,150.009,4.230785,0.013,,5758,1.17561,1.03,4.31038,344.3675399,20.7690958,15.4614,5.45309,2006-07
51 Peg b,51 Peg,0,1,1,Radial Velocity,1995,Haute-Provence Observatory,0,146.2018,4.231,0,,,,1.04,,344.3675399,20.7690958,15.4614,5.45309,2015-04
55 Cnc B b,55 Cnc B,1,2,7,Radial Velocity,2025,Mauna Kea Observatory,0,3.5,6.7994,0,,3286,0.274,0.26,4.86,133.167908,28.3152863,12.4773,13.152,2025-10
55 Cnc B c,55 Cnc B,1,2,7,Radial Velocity,2025,Mauna Kea Observatory,0,5.3,33.747,0,,3286,0.274,0.26,4.86,133.167908,28.3152863,12.4773,13.152,2025-10
55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,Lick Observatory,0,254.25,14.651,0.004,,5250,0.963515,0.9,4.42459,133.1468373,28.3298154,12.5855,5.95084,2012-11
55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,Lick Observatory,0,266.966,14.465314,0.0023,,5250,0.963515,0.9,4.42459,133.1468373,28.3298154,12.5855,5.95084,2014-06
55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,Lick Observatory,0,260.61,14.65126,0.0159,,5250,0.963515,0.9,4.42459,133.1468373,28.3298154,12.5855,5.95084,2009-03
55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,Lick Observatory,0,254.25,14.6,0,700,,,,,133.1468373,28.3298154,12.5855,5.95084,2015-04
55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,Lick Observatory,0,267.2936903,14.65171,0.0048,,5317.89,0.964411,0.974708,4.458131,133.1468373,28.3298154,12.5855,5.95084,2021-07
55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,Lick Observatory,0,240,14.651613,0.0026,,5292,,,,133.1468373,28.3298154,12.5855,5.95084,2025-12
55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,Lick Observatory,0,261.881,14.65162,0.014,,5250,0.963515,0.9,4.42459,133.1468373,28.3298154,12.5855,5.95084,2008-03
55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,Lick Observatory,0,255.4,14.6516,0,,5172,0.943,0.905,4.43,133.1468373,28.3298154,12.5855,5.95084,2018-10
55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,Lick Observatory,0,263.9785,14.65152,0.0034,,,,0.95,,133.1468373,28.3298154,12.5855,5.95084,2015-01
55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,Lick Observatory,0,249.17872,14.67,0.0197,,,,0.95,,133.1468373,28.3298154,12.5855,5.95084,2004-10
55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,Lick Observatory,0,289.21,14.647,0.03,,,,,,133.1468373,28.3298154,12.5855,5.95084,2004-01
55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,Lick Observatory,0,266.9772,14.653,0.02,,,,0.95,,133.1468373,28.3298154,12.5855,5.95084,2002-12
55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,Lick Observatory,0,266.9772,14.648,0.051,,5200,,0.85,4.5,133.1468373,28.3298154,12.5855,5.95084,1997-01
55 Cnc b,55 Cnc,1,2,7,Radial Velocity,1996,Lick Observatory,0,276,14.651552,0.0029,,5198,0.98,1.015,4.3,133.1468373,28.3298154,12.5855,5.95084,2025-10
55 Cnc c,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,56.6985,44.373,0.072,,5250,0.963515,0.9,4.42459,133.1468373,28.3298154,12.5855,5.95084,2014-06
55 Cnc c,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,48.7,44.3916,0.039,,5292,,,,133.1468373,28.3298154,12.5855,5.95084,2025-12
55 Cnc c,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,54.3486576,44.3827,0.048,,5317.89,0.964411,0.974708,4.458131,133.1468373,28.3298154,12.5855,5.95084,2021-07
55 Cnc c,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,52.44,44.3787,0.053,,5250,0.963515,0.9,4.42459,133.1468373,28.3298154,12.5855,5.95084,2009-03
55 Cnc c,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,54.4738,44.4175,0.02,,,,0.95,,133.1468373,28.3298154,12.5855,5.95084,2015-01
55 Cnc c,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,51.2,44.3989,0.03,,5172,0.943,0.905,4.43,133.1468373,28.3298154,12.5855,5.95084,2018-10
55 Cnc c,55 Cnc,1,2,7,Radial Velocity,2004,McDonald Observatory,0,56.6,44.3936,0.088,,5198,0.98,1.015,4.3,133.1468373,28.3298154,12.5855,5.95084,2025-10
55 Cnc c,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,53.711,44.3446,0.086,,5250,0.963515,0.9,4.42459,133.1468373,28.3298154,12.5855,5.95084,2008-03
55 Cnc c,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,68.96911,43.93,0.44,,,,0.95,,133.1468373,28.3298154,12.5855,5.95084,2004-10
55 Cnc c,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,52.44,44.38,0.07,,5250,0.963515,0.9,4.42459,133.1468373,28.3298154,12.5855,5.95084,2012-11
55 Cnc d,55 Cnc,0,2,7,Radial Velocity,2002,Lick Observatory,0,918.49,4545,0.24,,,,,,133.1468373,28.3298154,12.5855,5.95084,2004-01
55 Cnc d,55 Cnc,0,2,7,Radial Velocity,2002,Lick Observatory,0,991.6,5574.2,0.13,,5172,0.943,0.905,4.43,133.1468373,28.3298154,12.5855,5.95084,2018-10
55 Cnc d,55 Cnc,0,2,7,Radial Velocity,2002,Lick Observatory,0,908.989244,4820,0.139,,5317.89,0.964411,0.974708,4.458131,133.1468373,28.3298154,12.5855,5.95084,2021-07
55 Cnc d,55 Cnc,0,2,7,Radial Velocity,2002,Lick Observatory,0,1287.2115,5360,0.16,,,,0.95,,133.1468373,28.3298154,12.5855,5.95084,2002-12
55 Cnc d,55 Cnc,0,2,7,Radial Velocity,2002,Lick Observatory,0,1062,4982,0.0559,,5292,,,,133.1468373,28.3298154,12.5855,5.95084,2025-12
55 Cnc d,55 Cnc,1,2,7,Radial Velocity,2002,Lick Observatory,0,1214.104515,4799,0.0913,,5198,0.98,1.015,4.3,133.1468373,28.3298154,12.5855,5.95084,2025-10
55 Cnc d,55 Cnc,0,2,7,Radial Velocity,2002,Lick Observatory,0,1218.827,5218,0.025,,5250,0.963515,0.9,4.42459,133.1468373,28.3298154,12.5855,5.95084,2008-03
55 Cnc d,55 Cnc,0,2,7,Radial Velocity,2002,Lick Observatory,0,1243.35096,4517.4,0.327,,,,0.95,,133.1468373,28.3298154,12.5855,5.95084,2004-10
55 Cnc d,55 Cnc,0,2,7,Radial Velocity,2002,Lick Observatory,0,1226.77,4867,0.0269,,5250,0.963515,0.9,4.42459,133.1468373,28.3298154,12.5855,5.95084,2014-06
55 Cnc d,55 Cnc,0,2,7,Radial Velocity,2002,Lick Observatory,0,1220.42,5370,0.063,,5250,0.963515,0.9,4.42459,133.1468373,28.3298154,12.5855,5.95084,2009-03
55 Cnc d,55 Cnc,0,2,7,Radial Velocity,2002,Lick Observatory,0,1232.493,4825,0.019,,,,0.95,,133.1468373,28.3298154,12.5855,5.95084,2015-01
55 Cnc d,55 Cnc,0,2,7,Radial Velocity,2002,Lick Observatory,0,1121.89,4909,0.02,,5250,0.963515,0.9,4.42459,133.1468373,28.3298154,12.5855,5.95084,2012-11
55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,14.30235,2.808,0.174,,,,0.95,,133.1468373,28.3298154,12.5855,5.95084,2004-10
55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,9.35,0.736546,0.01,,5198,0.98,1.015,4.3,133.1468373,28.3298154,12.5855,5.95084,2025-10
55 Cnc e,55 Cnc,1,2,7,Radial Velocity,2004,McDonald Observatory,0,7.99,0.7365474,0.05,,5172,0.943,0.905,4.43,133.1468373,28.3298154,12.5855,5.95084,2018-10
55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,8.09479,0.7365478,0.028,,5250,0.963515,0.9,4.42459,133.1468373,28.3298154,12.5855,5.95084,2014-06
55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,8.08,0.736539,,,5250,0.963515,0.9,4.42459,133.1468373,28.3298154,12.5855,5.95084,2016-04
55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,7.74,0.737,,,5172,0.954,0.873,4.43,133.1468373,28.3298154,12.5855,5.95084,2019-09
55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,,0.7365417,,,,,,,133.1468373,28.3298154,12.5855,5.95084,2014-09
55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,,0.736543,,,5272,0.943,0.905,4.38,133.1468373,28.3298154,12.5855,5.95084,2023-02
55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,,,,,5250,0.963515,0.9,4.42459,133.1468373,28.3298154,12.5855,5.95084,2020-07
55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,,0.73654625,,1831.27,5250,0.963515,,4.42,133.1468373,28.3298154,12.5855,5.95084,2017-07
55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,8.59,0.7365474,,,,0.98,1.015,,133.1468373,28.3298154,12.5855,5.95084,2018-09
55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,7.4687,2.79674,0.264,,5250,0.963515,0.9,4.42459,133.1468373,28.3298154,12.5855,5.95084,2009-03
55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,8.37,0.736546,0,,5250,0.963515,0.9,4.42459,133.1468373,28.3298154,12.5855,5.95084,2012-11
55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,8.63,0.73654,,,,0.943,0.963,,133.1468373,28.3298154,12.5855,5.95084,2011-08
55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,8.13928,0.7365515,0.04,,,,0.95,,133.1468373,28.3298154,12.5855,5.95084,2015-01
55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,9.37593801,0.7365445,0.036,,5317.89,0.964411,0.974708,4.458131,133.1468373,28.3298154,12.5855,5.95084,2021-07
55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,7.95,0.736547,0.032,,5292,,,,133.1468373,28.3298154,12.5855,5.95084,2025-12
55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,7.81,0.7365437,0.061,1958,5234,0.943,0.905,4.45,133.1468373,28.3298154,12.5855,5.95084,2011-09
55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,,0.73654625,,,5234,0.943,0.905,4.45,133.1468373,28.3298154,12.5855,5.95084,2023-03
55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,,0.73654604,,,,,,,133.1468373,28.3298154,12.5855,5.95084,2021-04
55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,McDonald Observatory,0,8.08,,,,5250,0.963515,0.9,4.42459,133.1468373,28.3298154,12.5855,5.95084,2016-01
55 Cnc f,55 Cnc,0,2,7,Radial Velocity,2007,Multiple Observatories,0,45.766,260,0.2,,5250,0.963515,0.9,4.42459,133.1468373,28.3298154,12.5855,5.95084,2008-03
55 Cnc f,55 Cnc,0,2,7,Radial Velocity,2007,Multiple Observatories,0,54.664,261.2,0.32,,5250,0.963515,0.9,4.42459,133.1468373,28.3298154,12.5855,5.95084,2012-11
55 Cnc f,55 Cnc,0,2,7,Radial Velocity,2007,Multiple Observatories,0,44.812,260.7,0,,5250,0.963515,0.9,4.42459,133.1468373,28.3298154,12.5855,5.95084,2009-03
55 Cnc f,55 Cnc,0,2,7,Radial Velocity,2007,Multiple Observatories,0,47.0051,260.91,0.08,,5250,0.963515,0.9,4.42459,133.1468373,28.3298154,12.5855,5.95084,2014-06
55 Cnc f,55 Cnc,0,2,7,Radial Velocity,2007,Multiple Observatories,0,40.4,260.54,0.103,,5292,,,,133.1468373,28.3298154,12.5855,5.95084,2025-12
55 Cnc f,55 Cnc,1,2,7,Radial Velocity,2007,Multiple Observatories,0,48.5,260.58,0.063,,5198,0.98,1.015,4.3,133.1468373,28.3298154,12.5855,5.95084,2025-10
55 Cnc f,55 Cnc,0,2,7,Radial Velocity,2007,Multiple Observatories,0,46.87969003,260.98,0.142,,5317.89,0.964411,0.974708,4.458131,133.1468373,28.3298154,12.5855,5.95084,2021-07
55 Cnc f,55 Cnc,0,2,7,Radial Velocity,2007,Multiple Observatories,0,47.8,259.88,0.08,,5172,0.943,0.905,4.43,133.1468373,28.3298154,12.5855,5.95084,2018-10
55 Cnc f,55 Cnc,0,2,7,Radial Velocity,2007,Multiple Observatories,0,44.812,262,0.305,,,,0.95,,133.1468373,28.3298154,12.5855,5.95084,2015-01
6 Lyn b,6 Lyn,1,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,597.8352336,919.86,0.042,,4941,4.94,1.32,3.16,97.6960311,58.1611753,54.6599,5.87307,2023-08
